iter	Passed	Remaining
427	1610	2152
428	1612	2146
429	1615	2141
430	1617	2135
431	1620	2130
432	1622	2124
433	1624	2118
434	1626	2112
435	1628	2106
436	1630	2100
437	1632	2094
438	1634	2088
439	1636	2082
440	1637	2075
441	1639	2069
442	1640	2063
443	1642	2056
444	1647	2054
445	1649	2049
446	1651	2042
447	1652	2036
448	1655	2031
449	1658	2026
450	1660	2021
451	1662	2016
452	1665	2010
453	1667	2004
454	1668	1999
455	1670	1993
456	1672	1987
457	1676	1984
458	1678	1978
459	1680	1972
460	1684	1969
461	1689	1967
462	1692	1963
463	1694	1957
464	1696	1951
465	1698	1946
466	1700	1940
467	1702	1934
468	1703	1928
469	1705	1922
470	1707	1917
471	1709	1912
472	1714	1909
473	1715	1904
474	1717	1898
475	1719	1892
476	1720	1886
477	1724	1883
478	1726	1878
479	1728	1872
480	1732	1868
481	1733	1863
482	1737	1860
483	1740	1855
484	1742	1850
485	1745	1845
486	1747	1840
487	1749	1835
488	1751	1829
489	1755	1827
490	1757	1821
491	1759	1816
492	1760	1810
493	1762	1805
494	1764	1799
495	1766	1794
496	1768	1790
497	1771	1785
498	1773	1780
499	1775	1775
500	1776	1769
501	1778	1764
502	1780	1759
503	1781	1753
504	1785	1750
505	1787	1745
506	1789	1740
507	1791	1734
508	1792	1729
509	1794	1724
510	1796	1718
511	1797	1713
512	1799	1708
513	1801	1703
514	1803	1698
515	1804	1692
516	1806	1687
517	1807	1682
518	1809	1677
519	1811	1671
520	1812	1666
521	1817	1664
522	1819	1659
523	1829	1661
524	1831	1657
525	1833	1652
526	1835	1647
527	1837	1642
528	1841	1639
529	1844	1635
530	1847	1631
531	1849	1627
532	1851	1622
533	1853	1617
534	1855	1612
535	1857	1607
536	1859	1602
537	1868	1604
538	1869	1599
539	1872	1594
540	1874	1590
541	1876	1585
542	1878	1581
543	1880	1576
544	1882	1571
545	1884	1567
546	1886	1562
547	1888	1557
548	1892	1554
549	1894	1550
550	1896	1545
551	1898	1540
552	1900	1535
553	1902	1531
554	1904	1526
555	1905	1522
556	1908	1517
557	1910	1513
558	1912	1508
559	1914	1504
560	1916	1499
561	1918	1494
562	1919	1490
563	1921	1485
564	1925	1482
565	1929	1479
566	1930	1474
567	1932	1469
568	1934	1465
569	1935	1460
570	1938	1456
571	1940	1452
572	1942	1447
573	1944	1443
574	1946	1439
575	1948	1434
576	1950	1429
577	1952	1425
578	1954	1421
579	1955	1416
580	1957	1411
581	1959	1407
582	1961	1402
583	1962	1398
584	1964	1393
585	1967	1389
586	1969	1385
587	1971	1381
588	1973	1376
589	1974	1372
590	1976	1368
591	1978	1363
592	1980	1359
593	1984	1356
594	1985	1351
595	1987	1347
596	1989	1343
597	1993	1339
598	1995	1335
599	1999	1333
600	2001	1328
601	2003	1324
602	2005	1320
603	2006	1315
604	2008	1311
605	2010	1307
606	2012	1302
607	2015	1299
608	2017	1295
609	2018	1290
610	2020	1286
611	2023	1282
612	2025	1278
613	2027	1274
614	2030	1270
615	2033	1267
616	2035	1263
617	2037	1259
618	2039	1255
619	2042	1251
620	2045	1248
621	2047	1244
622	2049	1240
623	2051	1236
624	2053	1231
625	2055	1227
626	2058	1224
627	2060	1220
628	2062	1216
629	2063	1211
630	2065	1207
631	2068	1204
632	2071	1201
633	2075	1198
634	2077	1194
635	2093	1198
636	2101	1197
637	2102	1193
638	2105	1189
639	2107	1185
640	2111	1182
641	2122	1183
642	2131	1183
643	2146	1186
644	2148	1182
645	2155	1181
646	2159	1178
647	2164	1175
648	2189	1184
649	2193	1180
650	2197	1178
651	2206	1177
652	2209	1174
653	2212	1170
654	2217	1167
655	2230	1169
656	2233	1165
657	2235	1161
658	2237	1157
659	2255	1161
660	2258	1158
661	2263	1155
662	2267	1152
663	2271	1149
664	2275	1146
665	2280	1143
666	2282	1139
667	2284	1135
668	2286	1131
669	2289	1127
670	2291	1123
671	2294	1120
672	2318	1126
673	2332	1127
674	2334	1123
675	2336	1119
676	2339	1116
677	2354	1118
678	2374	1122
679	2376	1118
680	2433	1140
681	2438	1137
682	2443	1134
683	2446	1130
684	2450	1126
685	2455	1124
686	2462	1121
687	2467	1118
688	2475	1117
689	2478	1113
690	2482	1110
691	2485	1106
692	2487	1101
693	2491	1098
694	2493	1094
695	2496	1090
696	2498	1085
697	2501	1082
698	2504	1078
699	2507	1074
700	2509	1070
701	2511	1066
702	2513	1061
703	2517	1058
704	2519	1054
705	2521	1049
706	2524	1046
707	2526	1042
708	2529	1038
709	2534	1035
710	2537	1031
711	2539	1027
712	2542	1023
713	2544	1019
714	2547	1015
715	2549	1011
716	2552	1007
717	2553	1003
718	2556	999
719	2558	995
720	2560	990
721	2565	987
722	2567	983
723	2568	979
724	2571	975
725	2573	971
726	2575	967
727	2578	963
728	2579	959
729	2581	954
730	2583	950
731	2585	946
732	2587	942
733	2589	938
734	2593	934
735	2595	930
736	2597	926
737	2599	922
738	2601	918
739	2602	914
740	2605	910
741	2607	906
742	2610	902
743	2612	898
744	2613	894
745	2615	890
746	2618	886
747	2620	882
748	2622	878
749	2625	875
750	2626	870
751	2629	867
752	2630	862
753	2632	858
754	2634	854
755	2635	850
756	2637	846
757	2641	843
758	2643	839
759	2645	835
760	2647	831
761	2648	827
762	2650	823
763	2652	819
764	2653	815
765	2657	811
766	2659	807
767	2661	804
768	2663	800
769	2665	796
770	2667	792
771	2669	788
772	2672	784
773	2673	780
774	2675	776
775	2678	773
776	2680	769
777	2682	765
778	2684	761
779	2687	758
780	2689	754
781	2691	750
782	2692	746
783	2694	742
784	2696	738
785	2698	734
786	2701	731
787	2703	727
788	2705	723
789	2706	719
790	2708	715
791	2710	711
792	2712	707
793	2713	704
794	2716	700
795	2718	696
796	2720	692
797	2722	689
798	2724	685
799	2726	681
800	2728	677
801	2730	674
802	2732	670
803	2734	666
804	2735	662
805	2737	658
806	2739	655
807	2741	651
808	2743	647
809	2744	643
810	2746	640
811	2749	636
812	2751	632
813	2752	629
814	2757	625
815	2759	622
816	2761	618
817	2763	614
818	2765	611
819	2767	607
820	2769	603
821	2770	600
822	2772	596
823	2774	592
824	2777	589
825	2779	585
826	2781	581
827	2782	578
828	2785	574
829	2786	570
830	2788	567
831	2790	563
832	2792	559
833	2795	556
834	2797	552
835	2798	549
836	2800	545
837	2802	541
838	2804	538
839	2806	534
840	2809	531
841	2811	527
842	2813	524
843	2815	520
844	2817	516
845	2819	513
846	2820	509
847	2823	506
848	2825	502
849	2827	499
850	2829	495
851	2832	491
852	2834	488
853	2836	484
854	2837	481
855	2841	477
856	2843	474
857	2845	470
858	2847	467
859	2849	463
860	2851	460
861	2853	456
862	2855	453
863	2857	449
864	2858	446
865	2860	442
866	2861	438
867	2863	435
868	2864	431
869	2866	428
870	2868	424
871	2870	421
872	2872	417
873	2874	414
874	2876	410
875	2878	407
876	2879	403
877	2881	400
878	2883	396
879	2885	393
880	2887	390
881	2889	386
882	2891	383
883	2893	379
884	2894	376
885	2896	372
886	2898	369
887	2901	365
888	2903	362
889	2905	359
890	2907	355
891	2909	352
892	2910	348
893	2912	345
894	2914	341
895	2916	338
896	2918	335
897	2920	331
898	2921	328
899	2923	324
900	2925	321
901	2927	318
902	2929	314
903	2931	311
904	2933	307
905	2935	304
906	2937	301
907	2939	297
908	2941	294
909	2942	291
910	2944	287
911	2946	284
912	2948	280
913	2950	277
914	2952	274
915	2954	270
916	2955	267
917	2957	264
918	2958	260
919	2960	257
920	2962	254
921	2963	250
922	2965	247
923	2966	244
924	2970	240
925	2972	237
926	2974	234
927	2976	230
928	2978	227
929	2980	224
930	2981	220
931	2983	217
932	2984	214
933	2986	211
934	2988	207
935	2989	204
936	2992	201
937	2994	197
938	2995	194
939	2998	191
940	3000	188
941	3010	185
942	3013	182
943	3015	178
944	3017	175
945	3019	172
946	3020	169
947	3025	165
948	3027	162
949	3028	159
950	3030	156
951	3031	152
952	3033	149
953	3035	146
954	3038	143
955	3041	139
956	3062	137
957	3064	134
958	3066	131
959	3072	128
960	3074	124
961	3079	121
962	3081	118
963	3084	115
964	3086	111
965	3092	108
966	3095	105
967	3097	102
968	3101	99
969	3109	96
970	3142	93
971	3144	90
972	3147	87
973	3153	84
974	3157	80
975	3164	77
976	3166	74
977	3167	71
978	3169	67
979	3173	64
980	3174	61
981	3176	58
982	3182	55
983	3184	51
984	3185	48
985	3188	45
986	3190	42
987	3194	38
988	3197	35
989	3199	32
990	3205	29
991	3207	25
992	3209	22
993	3211	19
994	3213	16
995	3215	12
996	3216	9
997	3218	6
998	3220	3
999	3222	0
